date,hs300
2013/1/4,2524.41
2013/1/7,2535.99
2013/1/8,2525.33
2013/1/9,2526.13
2013/1/10,2530.57
2013/1/11,2483.23
2013/1/14,2577.73
2013/1/15,2595.86
2013/1/16,2577.09
2013/1/17,2552.76
2013/1/18,2595.44
2013/1/21,2610.9
2013/1/22,2596.9
2013/1/23,2607.46
2013/1/24,2582.75
2013/1/25,2571.67
2013/1/28,2651.86
2013/1/29,2675.87
2013/1/30,2688.71
2013/1/31,2686.88
2013/2/1,2743.32
2013/2/4,2748.03
2013/2/5,2771.68
2013/2/6,2775.84
2013/2/7,2759.87
2013/2/8,2771.73
2013/2/18,2737.47
2013/2/19,2685.61
2013/2/20,2702.64
2013/2/21,2610.55
2013/2/22,2596.6
2013/2/25,2604.96
2013/2/26,2567.59
2013/2/27,2594.68
2013/2/28,2673.33
2013/3/1,2668.84
2013/3/4,2545.72
2013/3/5,2622.81
2013/3/6,2650.2
2013/3/7,2619.48
2013/3/8,2606.93
2013/3/11,2592.37
2013/3/12,2555.61
2013/3/13,2527.49
2013/3/14,2534.27
2013/3/15,2539.87
2013/3/18,2502.49
2013/3/19,2525.1
2013/3/20,2610.17
2013/3/21,2614.99
2013/3/22,2618.31
2013/3/25,2613.1
2013/3/26,2575.05
2013/3/27,2583.53
2013/3/28,2499.3
2013/3/29,2495.08
2013/4/1,2493.19
2013/4/2,2486.39
2013/4/3,2483.55
2013/4/8,2472.3
2013/4/9,2489.43
2013/4/10,2485.31
2013/4/11,2477.88
2013/4/12,2462.11
2013/4/15,2436.82
2013/4/16,2459.59
2013/4/17,2458.47
2013/4/18,2464.85
2013/4/19,2533.83
2013/4/22,2530.67
2013/4/23,2449.47
2013/4/24,2495.58
2013/4/25,2467.87
2013/4/26,2447.31
2013/5/2,2449.64
2013/5/3,2492.91
2013/5/6,2525.98
2013/5/7,2529.94
2013/5/8,2542.8
2013/5/9,2527.79
2013/5/10,2540.84
2013/5/13,2530.77
2013/5/14,2493.34
2013/5/15,2506.93
2013/5/16,2552.71
2013/5/17,2592.05
2013/5/20,2609.61
2013/5/21,2614.85
2013/5/22,2618.03
2013/5/23,2582.85
2013/5/24,2597.23
2013/5/27,2599.59
2013/5/28,2644.36
2013/5/29,2642.56
2013/5/30,2634.32
2013/5/31,2606.43
2013/6/3,2602.62
2013/6/4,2565.67
2013/6/5,2560.54
2013/6/6,2527.84
2013/6/7,2484.16
2013/6/13,2399.94
2013/6/14,2416.77
2013/6/17,2403.84
2013/6/18,2418.75
2013/6/19,2400.76
2013/6/20,2321.47
2013/6/21,2317.39
2013/6/24,2171.21
2013/6/25,2165.42
2013/6/26,2168.3
2013/6/27,2160.74
2013/6/28,2200.64
2013/7/1,2213.32
2013/7/2,2221.98
2013/7/3,2203.83
2013/7/4,2221.98
2013/7/5,2226.85
2013/7/8,2163.62
2013/7/9,2162.67
2013/7/10,2224.06
2013/7/11,2326.69
2013/7/12,2275.37
2013/7/15,2307.3
2013/7/16,2317.85
2013/7/17,2282.84
2013/7/18,2245.33
2013/7/19,2190.48
2013/7/22,2202.19
2013/7/23,2265.84
2013/7/24,2249.15
2013/7/25,2237.68
2013/7/26,2224.01
2013/7/29,2175.97
2013/7/30,2189.39
2013/7/31,2193.02
2013/8/1,2245.36
2013/8/2,2247.26
2013/8/5,2278.33
2013/8/6,2293.64
2013/8/7,2280.62
2013/8/8,2276.78
2013/8/9,2286.01
2013/8/12,2352.79
2013/8/13,2359.07
2013/8/14,2349.08
2013/8/15,2321.58
2013/8/16,2304.14
2013/8/19,2331.43
2013/8/20,2312.47
2013/8/21,2308.59
2013/8/22,2303.93
2013/8/23,2286.93
2013/8/26,2335.62
2013/8/27,2340.88
2013/8/28,2328.06
2013/8/29,2318.31
2013/8/30,2313.91
2013/9/2,2320.34
2013/9/3,2354.5
2013/9/4,2350.7
2013/9/5,2341.74
2013/9/6,2357.78
2013/9/9,2440.61
2013/9/10,2474.89
